id,masterCategory,gender,baseColour
15970,Apparel,Men,Navy Blue
39386,Apparel,Men,Blue
59263,Accessories,Women,Silver
21379,Apparel,Men,Black
53759,Apparel,Men,Grey
1855,Apparel,Men,Grey
30805,Apparel,Men,Green
26960,Apparel,Women,Purple
29114,Accessories,Men,Navy Blue
30039,Accessories,Men,Black
9204,Footwear,Men,Black
48123,Accessories,Women,Black
18653,Footwear,Men,Black
47957,Accessories,Women,Blue
46885,Footwear,Boys,Navy Blue
12369,Apparel,Men,Purple
29928,Accessories,Men,Black
42419,Apparel,Girls,White
51832,Apparel,Women,Beige
47359,Accessories,Women,Brown
17429,Accessories,Men,Black
12967,Footwear,Men,Black
6842,Accessories,Unisex,Black
13089,Apparel,Men,Grey
18461,Personal Care,Men,White
9036,Footwear,Men,Black
48311,Accessories,Women,Bronze
7990,Apparel,Men,Navy Blue
56019,Personal Care,Women,Brown
21977,Accessories,Women,Brown
37812,Apparel,Men,Navy Blue
4729,Apparel,Boys,Green
56825,Apparel,Men,Brown
39988,Footwear,Men,White
59051,Footwear,Women,Black
20099,Apparel,Women,Green
58183,Accessories,Women,White
29742,Accessories,Women,Teal
51658,Accessories,Women,Copper
3954,Apparel,Women,Pink
18839,Accessories,Men,Black
2886,Footwear,Women,Brown
23278,Accessories,Men,Off White
28690,Apparel,Women,Beige
8580,Apparel,Men,Grey
3168,Footwear,Men,White
18005,Apparel,Men,Black
17871,Apparel,Men,Maroon
9452,Apparel,Men,Red
38402,Accessories,Women,Black
44984,Accessories,Women,White
10268,Footwear,Men,Black
45856,Apparel,Women,Brown
32138,Apparel,Men,Blue
59435,Footwear,Men,Black
5891,Apparel,Men,Black
38630,Apparel,Women,Purple
4943,Apparel,Men,White
11188,Accessories,Men,Silver
10866,Apparel,Men,Red
59607,Apparel,Women,Grey
15528,Apparel,Men,Black
45258,Accessories,Men,Black
42841,Accessories,Women,Beige
22198,Footwear,Men,Black
29570,Footwear,Men,Purple
43993,Personal Care,Women,Pink
6628,Footwear,Men,White
54924,Apparel,Men,Blue
26538,Footwear,Men,Red
35913,Accessories,Women,Black
49495,Footwear,Men,Khaki
9660,Apparel,Men,Pink
2288,Apparel,Women,Black
23876,Apparel,Men,Blue
18237,Apparel,Men,Red
54118,Footwear,Women,Black
2872,Footwear,Women,Brown
49653,Apparel,Women,Green
8574,Footwear,Women,Pink
16957,Accessories,Men,Black
19123,Footwear,Men,Silver
13419,Apparel,Men,Pink
17885,Apparel,Men,Grey
43369,Footwear,Men,Black
48781,Accessories,Women,Silver
44970,Accessories,Men,White
56489,Personal Care,Women,Bronze
39524,Accessories,Unisex,Orange
33822,Footwear,Men,White
58513,Apparel,Women,Off White
25947,Accessories,Women,Brown
52029,Apparel,Unisex,Coffee Brown
5865,Apparel,Men,Black
39716,Apparel,Women,Blue
25349,Apparel,Men,Red
11940,Footwear,Men,Black
55802,Apparel,Women,White
29584,Apparel,Men,Black
43967,Personal Care,Women,Red
28456,Apparel,Women,Blue
34009,Apparel,Girls,Black
19311,Footwear,Men,White
42089,Footwear,Men,White
22950,Accessories,Unisex,Black
49461,Footwear,Men,Blue
8746,Footwear,Unisex,Navy Blue
9694,Apparel,Men,White
23882,Footwear,Men,Grey
34835,Footwear,Men,Blue
15984,Apparel,Men,Yellow
41268,Accessories,Men,Black
11518,Footwear,Women,Grey
14856,Accessories,Women,Beige
33648,Footwear,Men,Brown
59297,Apparel,Men,White
28032,Apparel,Men,White
27846,Apparel,Women,Charcoal
26994,Apparel,Women,Black
49839,Footwear,Women,Red
31923,Accessories,Women,Blue
2618,Footwear,Women,Silver
54588,Apparel,Women,Green
49005,Accessories,Women,Silver
8322,Apparel,Boys,Blue
13841,Accessories,Unisex,White
28200,Accessories,Men,Copper
12993,Footwear,Unisex,Black
7158,Apparel,Men,Green
18495,Footwear,Men,White
8110,Accessories,Men,Black
19547,Apparel,Men,Blue
7964,Apparel,Men,Black
36934,Personal Care,Women,Gold
39140,Apparel,Women,Black
20851,Accessories,Women,Red
41866,Footwear,Men,Beige
58177,Accessories,Women,Brown
44528,Footwear,Men,Black
16392,Apparel,Men,Red
51455,Apparel,Women,Pink
50587,Apparel,Men,Grey
17240,Apparel,Men,Black
47530,Footwear,Women,Copper
6617,Apparel,Men,Black
12732,Accessories,Unisex,Black
3365,Apparel,Men,Black
42042,Footwear,Men,White
23849,Footwear,Men,Black
43190,Accessories,Women,White
48578,Accessories,Men,Steel
30462,Apparel,Women,Black
18208,Accessories,Men,White
54127,Footwear,Women,Black
10065,Apparel,Men,Yellow
24250,Footwear,Men,White
32335,Accessories,Men,Silver
25382,Apparel,Men,White
56670,Accessories,Men,Black
5092,Apparel,Men,Purple
10859,Apparel,Men,Navy Blue
59638,Apparel,Women,Green
15517,Footwear,Men,Red
4140,Footwear,Women,Green
36795,Accessories,Men,Silver
40527,Accessories,Men,Gold
10257,Apparel,Men,Black
24062,Apparel,Men,Navy Blue
45869,Accessories,Men,Brown
11385,Apparel,Women,Black
53130,Footwear,Women,Brown
44187,Personal Care,Women,White
21510,Accessories,Women,White
51667,Accessories,Men,Grey
22395,Apparel,Men,Blue
35322,Accessories,Women,Silver
6425,Footwear,Unisex,Black
18806,Accessories,Men,Tan
23247,Footwear,Men,Black
17072,Accessories,Women,Grey
31782,Apparel,Women,Blue
42270,Footwear,Unisex,Black
12500,Apparel,Men,Black
26735,Personal Care,Men,Black
30650,Apparel,Men,Black
56026,Personal Care,Women,Brown
21948,Accessories,Women,Brown
32563,Apparel,Women,Blue
58980,Personal Care,Women,Pink
40143,Apparel,Girls,Blue
10633,Footwear,Men,Brown
24406,Apparel,Women,Red
4716,Accessories,Unisex,Black
21174,Apparel,Women,Beige
15341,Apparel,Women,Pink
52486,Apparel,Women,Maroon
53554,Apparel,Men,Multi
14293,Apparel,Men,Blue
47366,Accessories,Women,Blue
6041,Apparel,Men,Navy Blue
23623,Apparel,Girls,Pink
17416,Footwear,Men,Black
9835,Apparel,Women,Grey
29319,Accessories,Unisex,Red
7193,Apparel,Women,Black
12958,Footwear,Men,Black
27283,Apparel,Women,Magenta
30234,Footwear,Men,Black
9009,Accessories,Women,Brown
3533,Apparel,Men,Navy Blue
42614,Accessories,Women,Gold
12164,Apparel,Women,Orange
26351,Accessories,Women,White
17624,Apparel,Men,Navy Blue
47154,Apparel,Girls,Black
35574,Footwear,Men,Red
46086,Footwear,Women,Lavender
51031,Apparel,Women,White
13284,Apparel,Men,Black
54543,Footwear,Men,White
55491,Personal Care,Women,Brown
26163,Apparel,Men,Grey
3701,Apparel,Women,Black
29917,Accessories,Men,White
42426,Apparel,Women,Sea Green
32751,Footwear,Men,Black
56214,Accessories,Women,Gold
10401,Apparel,Women,Purple
40371,Apparel,Women,Navy Blue
21346,Accessories,Men,Gold
45603,Footwear,Men,Black
4524,Footwear,Men,Black
37223,Apparel,Women,Blue
53766,Apparel,Men,White
25520,Apparel,Girls,White
32597,Apparel,Women,Black
58974,Personal Care,Men,Gold
33445,Accessories,Women,Black
57100,Apparel,Women,Pink
36137,Footwear,Women,Pink
41859,Footwear,Men,Black
21180,Footwear,Men,Black
39943,Footwear,Men,Brown
52472,Apparel,Women,Pink
58148,Accessories,Unisex,White
20052,Accessories,Women,Yellow
5630,Footwear,Women,Blue
44517,Footwear,Men,Brown
47392,Accessories,Women,Beige
50325,Apparel,Women,Navy Blue
8913,Footwear,Men,White
16530,Apparel,Men,Red
22705,Footwear,Men,White
7167,Apparel,Men,Purple
46240,Apparel,Women,White
27277,Apparel,Women,Green
13042,Footwear,Women,Brown
6889,Apparel,Women,Cream
31312,Apparel,Women,Peach
12190,Apparel,Men,Blue
55657,Footwear,Women,Gold
19578,Apparel,Women,Purple
27879,Apparel,Women,Blue
34452,Footwear,Women,Copper
6287,Apparel,Men,Yellow
7355,Apparel,Men,Navy Blue
46072,Accessories,Men,Black
22537,Footwear,Men,Tan
28831,Apparel,Women,Brown
43500,Apparel,Men,White
2627,Footwear,Women,Silver
27045,Accessories,Women,Off White
13270,Apparel,Women,White
18698,Apparel,Men,Grey
55465,Personal Care,Women,Red
26197,Personal Care,Men,Green
31120,Apparel,Girls,Pink
25712,Accessories,Unisex,Blue
11527,Apparel,Men,Olive
14869,Accessories,Men,Black
40385,Apparel,Women,Yellow
15187,Apparel,Men,White
5402,Footwear,Women,Purple
44725,Footwear,Women,Orange
14055,Apparel,Men,Green
20260,Apparel,Men,Navy Blue
7731,Footwear,Men,Grey
22153,Footwear,Men,Brown
43958,Footwear,Men,Olive
28469,Apparel,Women,Pink
50573,Apparel,Men,Charcoal
34036,Apparel,Boys,Blue
55001,Personal Care,Women,Pink
8779,Apparel,Men,Navy Blue
3391,Accessories,Women,White
43164,Accessories,Men,Black
2243,Apparel,Men,White
30496,Apparel,Women,Purple
27421,Apparel,Women,Blue
57756,Personal Care,Women,Green
33213,Apparel,Women,Magenta
39729,Apparel,Women,Olive
25376,Apparel,Men,Grey
11143,Apparel,Men,Black
56684,Apparel,Women,Beige
4988,Apparel,Women,White
44341,Apparel,Men,Blue
14431,Footwear,Women,Black
20604,Accessories,Women,Brown
52224,Accessories,Women,Silver
45293,Accessories,Women,Red
36761,Accessories,Men,Black
33021,Apparel,Women,Cream
25144,Accessories,Women,Orange
11371,Apparel,Men,Black
41401,Apparel,Women,White
14603,Accessories,Men,Grey
37481,Accessories,Women,White
5254,Accessories,Unisex,Red
44173,Personal Care,Women,Pink
25978,Personal Care,Women,Pink
4386,Apparel,Men,Grey
51693,Accessories,Unisex,Brown
16154,Footwear,Men,Black
22361,Footwear,Men,Navy Blue
29789,Apparel,Men,Pink
19920,Accessories,Unisex,Black
7503,Apparel,Men,Blue
46624,Personal Care,Men,Grey
34204,Apparel,Men,Navy Blue
17086,Accessories,Women,Orange
50741,Footwear,Men,Black
55233,Personal Care,Women,Skin
13426,Apparel,Men,Red
43356,Footwear,Women,Charcoal
28207,Accessories,Men,Black
13846,Apparel,Men,Blue
12994,Footwear,Boys,Black
46278,Apparel,Women,Red
16508,Apparel,Men,Blue
18492,Footwear,Men,Blue
19540,Apparel,Men,Blue
7963,Apparel,Men,White
8117,Accessories,Men,Black
49230,Accessories,Men,Black
39147,Apparel,Women,Purple
36933,Personal Care,Women,Purple
57138,Apparel,Women,Brown
20856,Footwear,Men,Black
41861,Footwear,Men,Black
5608,Footwear,Men,Black
58170,Accessories,Women,Red
15983,Apparel,Men,Burgundy
39375,Accessories,Women,Silver
14851,Accessories,Women,Coffee Brown
59290,Accessories,Men,Black
52678,Accessories,Men,Black
20258,Apparel,Men,Brown
47198,Footwear,Men,Brown
27841,Accessories,Men,White
28035,Apparel,Men,Grey Melange
31924,Accessories,Women,Black
26993,Apparel,Women,Blue
13248,Apparel,Men,Brown
43538,Apparel,Women,Blue
8325,Apparel,Boys,Yellow
31118,Apparel,Girls,Red
19772,Footwear,Men,Blue
46876,Accessories,Men,Grey
5862,Apparel,Men,Black
39711,Accessories,Men,Black
14409,Footwear,Women,White
58726,Apparel,Men,Grey
44379,Personal Care,Men,Black
11947,Footwear,Men,Olive
36759,Accessories,Men,White
51499,Apparel,Women,Blue
29583,Footwear,Women,Silver
55805,Apparel,Women,Pink
7709,Apparel,Women,Black
28451,Apparel,Women,Black
43960,Apparel,Men,Grey
8741,Apparel,Men,Navy Blue
55039,Personal Care,Women,Brown
19316,Accessories,Unisex,Grey
27419,Apparel,Women,Black
34832,Footwear,Men,White
23885,Footwear,Men,Grey
19918,Accessories,Unisex,Black
22359,Apparel,Men,Blue
19124,Footwear,Women,Pink
16950,Accessories,Men,Brown
49654,Apparel,Women,Grey
48786,Accessories,Women,Silver
2049,Apparel,Men,White
17882,Apparel,Men,White
44977,Accessories,Men,Silver
33019,Apparel,Women,Yellow
41439,Footwear,Men,Black
39523,Accessories,Unisex,Black
52812,Accessories,Men,Black
11349,Apparel,Men,Blue
24892,Apparel,Men,Black
58514,Apparel,Women,Grey
33825,Footwear,Women,Silver
25940,Accessories,Women,Yellow
38637,Apparel,Men,Red
5896,Footwear,Men,Black
4944,Apparel,Men,White
10861,Apparel,Men,White
59600,Apparel,Women,Rust
42846,Accessories,Women,Multi
35128,Accessories,Women,Purple
47508,Apparel,Men,Black
54923,Apparel,Girls,Olive
43994,Personal Care,Women,Pink
17278,Apparel,Men,Grey
31588,Apparel,Men,Maroon
49492,Footwear,Men,Maroon
18230,Apparel,Men,White
23871,Apparel,Men,Grey
9667,Apparel,Men,Purple
16198,Apparel,Men,Black
3953,Apparel,Women,Red
29745,Accessories,Men,Black
28697,Apparel,Women,Black
12538,Apparel,Men,Blue
8587,Apparel,Men,Red
42248,Apparel,Women,Pink
48772,Accessories,Women,Silver
17876,Apparel,Men,Grey
30668,Accessories,Men,Black
9455,Apparel,Men,Red
18002,Apparel,Women,Black
44983,Accessories,Women,Silver
38405,Accessories,Women,White
53934,Accessories,Women,Brown
1638,Apparel,Unisex,Blue
25188,Accessories,Women,Brown
24866,Accessories,Men,Black
53108,Accessories,Women,Silver
21528,Accessories,Women,Copper
59432,Accessories,Women,Black
32903,Apparel,Women,Red
6079,Apparel,Men,Grey
12960,Footwear,Men,White
29321,Apparel,Men,Black
9031,Footwear,Men,Tan
6845,Accessories,Unisex,Black
18466,Personal Care,Women,White
26369,Apparel,Women,Blue
33489,Apparel,Men,Green
59056,Footwear,Women,Blue
15379,Footwear,Men,Black
45409,Footwear,Women,Black
56822,Apparel,Men,Beige
58184,Accessories,Women,Beige
40947,Apparel,Boys,Red
39381,Apparel,Men,Black
15977,Apparel,Men,Red
32769,Apparel,Men,Blue
10439,Apparel,Men,Brown
59264,Accessories,Women,White
14099,Apparel,Women,Pink
1852,Apparel,Men,Blue
30802,Apparel,Men,Blue
51009,Apparel,Women,Rose
29113,Accessories,Women,White
7399,Footwear,Men,Black
26967,Apparel,Women,Navy Blue
27089,Apparel,Women,Brown
48124,Accessories,Women,Brown
9203,Footwear,Men,Black
51835,Apparel,Women,Red
3739,Accessories,Men,Blue
19786,Apparel,Men,Navy Blue
44948,Footwear,Men,Black
24091,Apparel,Men,Navy Blue
57563,Personal Care,Women,Brown
33026,Apparel,Women,Pink
41406,Apparel,Women,Pink
11376,Apparel,Women,Grey
25143,Accessories,Women,Silver
44174,Personal Care,Women,White
